,feature_66,feature_171,feature_427,feature_133,feature_299,feature_563,feature_354,feature_3
0,23.2216,0.8247000000000001,1.3155,2.3766,0.0595,267.07,0.0202,2207.0444
1,27.2716,0.7047,0.6593,2.3805,0.0662,250.084,0.0357,2155.3111
2,14.7061,0.7804,1.5403,2.3244,0.0519,264.272,0.0145,2173.4556
3,36.07909999999999,0.6262,1.6422,2.3725,0.0635,268.6908,0.0512,2224.0
4,24.3057,0.969,0.8006,2.3401,0.0505,257.68919999999997,0.05330000000000001,2217.8111
5,19.1189,0.4063,0.7004000000000001,2.2797,0.0242,264.272,0.0497,2212.3
6,22.2064,0.5595,1.4412,2.2864,0.0655,264.272,0.017,2200.2
7,25.3099,0.8028,1.419,2.3080999999999996,0.0867,264.272,0.033,2209.8
8,24.2829,1.0824,1.8268,2.2592,0.08,267.064,0.0428,2186.4111
9,21.0974,0.4433,0.9783000000000001,2.2877,0.0449,264.272,0.04194,2182.5555
10,23.905,0.4788,1.3357999999999999,2.212,0.10989999999999998,272.796,0.0519,2173.2778
11,17.5983,0.7978,1.5564,2.2773,0.1141,265.306,0.0497,2163.5889
12,32.7483,0.7810000000000001,1.5813999999999997,2.2959,0.0266,270.44,0.0495,2162.5556
13,22.3647,0.6332,0.7479,2.3322999999999996,0.0486,251.61600000000004,0.0626,2236.0667
14,22.3694,0.7299,0.6601,2.2673999999999994,0.0607,256.842,0.049,2239.4111
15,29.1429,0.5868,0.8463,2.2564,0.0585,258.924,0.0545,2227.2444
16,24.68546,0.6062,0.5788,2.2784,0.0536,249.918,0.0455,2195.6667
17,44.9459616831798,0.7108,2.02,2.3735000000000004,0.0868,261.168,0.013499999999999998,2207.0444
18,15.0471,0.5162,0.6477,2.1911,0.0359,264.272,0.0448,2164.3666
19,22.1659,0.7973,2.0504,2.3499,0.13750336952302658,269.366,0.04460000000000001,2170.0666
20,37.258,0.4828,1.5738999999999999,2.2928,0.0565,261.7944,0.0587,2244.1111
21,21.7095,0.4945,1.5151,2.3146,0.0166,264.272,0.0378,2160.6
22,23.1287,0.6531,0.7370000000000001,2.3386,0.0488,251.03000000000003,0.0596,2191.5667
23,30.7593,0.5357,1.2606,2.272,0.071,264.272,0.0124,2227.2222
24,19.2834,0.6458,0.5418,2.2802,0.045,264.272,0.007799999999999999,2224.6778
25,27.2876,0.8505,1.7251,2.3121999999999994,0.0601,263.02,0.0506,2207.3889
26,24.3905,0.6791,2.2004,2.2728,0.053,265.908,0.0513,2173.4556
27,21.2465,0.6177,0.8378,2.2474,0.0643,253.31399999999996,0.0583,2210.8556
28,26.2754,0.5811,1.9544,2.3216,0.0339,261.6544,0.0423,2230.4222
29,29.809,0.5744,0.6131,2.4241,0.1043,264.272,0.0389,2243.8556
30,41.2374,0.6385,1.3431,2.3684,0.0254,260.674,0.0225,2171.9
31,30.4914,0.969,0.4793,2.2937,0.0587,256.6628,0.0384,2220.4778
32,22.9635,0.909,0.9287,2.2757,0.0286,264.272,0.0435,2216.5
33,26.269100000000005,0.377,0.9269,2.2658,0.0816,277.55,0.0291,2266.8333
34,21.7926,0.7743,1.2483,2.3817,0.0679,264.272,0.0483,2205.7445
35,23.8157,0.5844,1.0257,2.2771,0.0472,264.47,0.0324,2124.8444
36,26.4132,0.5595,0.5418,2.2864,0.0175,264.272,0.013,2208.5222
37,30.3233,0.6379,1.1716,2.2434,0.099,272.572,0.055900000000000005,2228.4778
38,26.448,0.7512,0.8527,2.2569,0.0257,256.014,0.0247,2247.3666
39,44.9459616831798,0.5928,1.4389,2.3712,0.038,263.176,0.0208,2191.9
40,21.6831,0.4433,0.5403,2.3187,0.0327,253.17000000000002,0.049,2191.3556
41,27.4102,0.8976,1.2655,2.2887,0.0384,265.49,0.0204,2223.0333
42,26.897900000000003,0.5756,0.5996,2.4151,0.0393,250.206,0.0188,2165.0333
43,27.321100000000005,0.6023,1.3047,2.2616,0.0805,264.272,0.0396,2189.9667
44,31.450100000000003,0.4812,1.5308000000000002,2.3672,0.045,264.272,0.062000000000000006,2218.0555
45,23.5578,0.7555000000000001,0.6632,2.3375,0.0351,250.292,0.0213,2217.8667
46,22.1353,0.6491,2.1082,2.3756,0.0433,261.542,0.0368,2232.5889
47,32.7577,0.9858000000000001,0.6269,2.3099000000000003,0.088,249.548,0.0421,2196.8
48,22.7275,0.7769,0.5892,2.2825999999999995,0.1198,264.272,0.05680000000000001,2162.1333
49,33.272,0.5786,1.5991,2.4241,0.0573,264.272,0.0474,2178.5889
50,30.1062,0.7997,1.6607999999999998,2.3275,0.0813,262.938,0.0321,2191.7889
51,25.9809,0.6535,1.7426,2.3257,0.0144,262.91793827079493,0.014,2217.8667
52,24.7257,0.7888,0.6011,2.3132,0.061,258.966,0.010500000000000002,2207.0444
53,30.7182,0.478,0.6632,2.2752,0.0626,257.404,0.05689999999999999,2206.4
54,44.9459616831798,0.6723,1.2224,2.3497,0.13750336952302658,264.136,0.0288,2196.6555
55,26.6305,0.7495000000000002,0.5648,2.3259,0.0454,250.0,0.028400000000000005,2183.1
56,22.5569,0.49550000000000005,0.6418,2.3063,0.0397,250.698,0.0509,2228.4444
57,26.063,0.8273,0.5445,2.4213999999999998,0.0337,248.774,0.0326,2203.4556
58,22.1675,0.7141,1.1766,2.3573,0.05,262.6268,0.038,2172.5333
59,39.7257,0.7104,2.2773,2.295,0.0339,263.902,0.0524,2207.0444
60,26.2833,0.8755999999999999,0.6101,2.2807999999999997,0.074,251.156,0.0603,2246.5778
61,25.8939,0.6512,0.81398,2.3285199999999997,0.0452,256.73,0.03642,2206.3
62,26.0522,0.5744,1.1702000000000001,2.3922999999999996,0.0494,268.152,0.0365,2222.0111
63,26.2174,0.8505,1.4616,2.3121999999999994,0.0467,263.066,0.0492,2207.3889
64,19.9076,0.6332,2.2414,2.4079,0.0387,264.272,0.0358,2168.7
65,29.3176,0.5969,1.5379,2.2936,0.13750336952302658,263.5076,0.0632,2160.3667
66,23.6041,0.7984000000000001,1.9706,2.349,0.0644,266.8,0.0399,2175.9667
67,24.9899,0.7141,1.1539,2.3573,0.0875,265.52479999999997,0.0372,2178.6889
68,14.113499999999998,0.6791,2.0544,2.3865,0.0535,265.88,0.013400000000000002,2238.5444
69,27.9713,0.4067,0.7382000000000001,2.2797,0.0866,256.778,0.0769,2223.0444
70,37.532,0.5398,1.3796,2.3394,0.0813,261.436,0.0435,2191.9
71,24.5799,0.5744,1.2366,2.2647,0.0803,261.234,0.0552,2194.9556
72,23.4468,0.647,1.5257000000000003,2.2825999999999995,0.0119,264.272,0.0451,2238.1444
73,30.0288,0.6322,0.4832000000000001,2.3161,0.0564,264.272,0.0349,2218.0555
74,27.3802,0.7049,1.4317,2.2915,0.0551,264.272,0.0468,2204.6667
75,27.3069,0.5365,0.5758,2.3063,0.09,250.556,0.0321,2167.2
76,25.7305,0.3596,1.5604,2.2563,0.0342,280.32,0.0341,2231.0555
77,22.0576,0.6139,0.5481,2.3883,0.0884,264.272,0.0435,2114.9458588922266
78,30.9387,0.6925,1.7736,2.2859,0.0532,271.75,0.0463,2199.3
79,22.319499999999998,0.5832,0.6244,2.2726,0.1084,248.426,0.05040000000000001,2175.1222
80,23.5326,0.8687,1.8290999999999997,2.3322999999999996,0.0678,261.9232,0.0339,2233.1556
81,24.7337,0.6995,0.5965,2.3402,0.059,252.932,0.0116,2201.0667
82,26.2439,0.6156,0.5518,2.2472,0.0835,256.832,0.0292,2213.9111
83,23.2157,0.49550000000000005,1.8725,2.3604,0.0654,264.3164,0.0357,2179.2
84,20.2591,0.9365,2.1221,2.3524,0.0466,260.17,0.0518,2222.3222
85,26.3407,0.733,1.0482,2.2445,0.0849,264.272,0.0409,2172.3111
86,37.4668,1.0039,1.4978,2.3073,0.0355,259.704,0.0454,2213.7556
87,21.2309,0.7473,0.7851,2.3162,0.0859,256.6228,0.0255,2183.3111
88,44.9459616831798,0.7555000000000001,1.2405,2.3375,0.0517,265.16,0.0176,2183.5
