,feature_66,feature_427,feature_442,feature_133,feature_3
0,23.2216,1.3155,0.9639,2.3766,2207.0444
1,27.2716,0.6593000000000001,0.8427,2.3805,2155.3111
2,14.7061,1.5403,0.9192999999999999,2.3244,2173.4556
3,36.0791,1.6421999999999999,0.7158,2.3725,2224.0
4,24.3057,0.8005999999999999,1.1255,2.3401,2217.8111
5,19.1189,0.7004,0.4782,2.2797,2212.3
6,22.2064,1.4412,0.656,2.2864,2200.2
7,25.3099,1.4190000000000003,0.9319999999999999,2.3080999999999996,2209.8
8,24.2829,1.8268,1.2771,2.2592,2186.4111
9,21.0974,0.9783,0.5317,2.2877,2182.5555
10,23.905,1.3358,0.565,2.212,2173.2778
11,17.5983,1.5564000000000004,0.9361,2.2773,2163.5889
12,32.7483,1.5814,0.9174999999999999,2.2959,2162.5556
13,22.3647,0.7479,0.7316,2.3322999999999996,2236.0667
14,22.3694,0.6601,0.8531999999999998,2.2673999999999994,2239.4111
15,29.1429,0.8463,0.7032,2.2564,2227.2444
16,24.68546,0.5788,0.7139,2.2784,2195.6667
17,44.784266730084916,2.0200000000000005,0.8222,2.3735000000000004,2207.0444
18,15.0471,0.6477,0.6144,2.1911,2164.3666
19,22.1659,2.0504,0.9383,2.3499,2170.0666
20,37.258,1.5739,0.5593,2.2928,2244.1111
21,21.7095,1.5151000000000001,0.5836,2.3146,2160.6
22,23.1287,0.737,0.78,2.3386,2191.5667
23,30.7593,1.2606,0.6373,2.272,2227.2222
24,19.2834,0.5418,0.7655,2.2802,2224.6778
25,27.2876,1.7251,0.9964999999999999,2.3121999999999994,2207.3889
26,24.3905,2.2004,0.7928,2.2728,2173.4556
27,21.2465,0.8378,0.7233,2.2474,2210.8556
28,26.2754,1.9544000000000001,0.6667,2.3216,2230.4222
29,29.809,0.6130999999999999,0.6641,2.4241,2243.8556
30,41.2374,1.3431,0.7584,2.3684,2171.9
31,30.4914,0.4793,1.1255,2.2937,2220.4778
32,22.9635,0.9286999999999999,1.0541,2.2757,2216.5
33,26.2691,0.9269,0.442,2.2658,2266.8333
34,21.7926,1.2483,0.9237999999999998,2.3817,2205.7445
35,23.8157,1.0257,0.6987,2.2771,2124.8444
36,26.4132,0.5418,0.656,2.2864,2208.5222
37,30.3233,1.1716,0.7534,2.2434,2228.4778
38,26.448,0.8527,0.8858999999999999,2.2569,2247.3666
39,44.784266730084916,1.4389,0.6901,2.3712,2191.9
40,21.6831,0.5403,0.5317,2.3187,2191.3556
41,27.4102,1.2655,1.0644,2.2887,2223.0333
42,26.8979,0.5996,0.6815,2.4151,2165.0333
43,27.321099999999998,1.3047,0.7053,2.2616,2189.9667
44,31.4501,1.5307999999999997,0.5632,2.3672,2218.0555
45,23.5578,0.6632,0.8716,2.3375,2217.8667
46,22.1353,2.1082000000000005,0.7613,2.3756,2232.5889
47,32.7577,0.6269,1.1525,2.3099000000000003,2196.8
48,22.7275,0.5892,0.9136,2.2825999999999995,2162.1333
49,33.272,1.5991000000000004,0.684,2.4241,2178.5889
50,30.1062,1.6608,0.9251,2.3275,2191.7889
51,25.9809,1.7426000000000004,0.7663,2.3257,2217.8667
52,24.7257,0.6010999999999999,0.9251,2.3132,2207.0444
53,30.7182,0.6632,0.5669,2.2752,2206.4
54,44.784266730084916,1.2224,0.7898,2.3497,2196.6555
55,26.6305,0.5648,0.8807,2.3259,2183.1
56,22.5569,0.6418,0.577,2.3063,2228.4444
57,26.063,0.5445,0.9588,2.4213999999999998,2203.4556
58,22.1675,1.1766,0.8435,2.3573,2172.5333
59,39.7257,2.2773,0.8384,2.295,2207.0444
60,26.2833,0.6100999999999999,1.0216,2.2807999999999997,2246.5778
61,25.8939,0.8139799999999999,0.7584,2.3285199999999997,2206.3
62,26.0522,1.1702,0.6641,2.3922999999999996,2222.0111
63,26.2174,1.4616,0.9964999999999999,2.3121999999999994,2207.3889
64,19.9076,2.2414,0.7506,2.4079,2168.7
65,29.3176,1.5379,0.7015,2.2936,2160.3667
66,23.6041,1.9706,0.9396,2.349,2175.9667
67,24.9899,1.1539,0.8435,2.3573,2178.6889
68,14.1135,2.0544,0.7928,2.3865,2238.5444
69,27.9713,0.7382000000000001,0.481,2.2797,2223.0444
70,37.532,1.3796,0.6302,2.34284,2191.9
71,24.5799,1.2366,0.6641,2.2647,2194.9556
72,23.4468,1.5257,0.7611,2.2825999999999995,2238.1444
73,30.0288,0.4832,0.7477,2.3161,2218.0555
74,27.380200000000002,1.4316999999999998,0.8470999999999999,2.2915,2204.6667
75,27.3069,0.5758,0.6335,2.3063,2167.2
76,25.7305,1.5604000000000005,0.4254,2.2563,2231.0555
77,22.0576,0.5481,0.7337,2.3883,2114.990560444201
78,30.9387,1.7736,0.8136,2.2859,2199.3
79,22.3195,0.6244,0.6927,2.2726,2175.1222
80,23.532600000000002,1.8291000000000002,1.0189,2.3322999999999996,2233.1556
81,24.7337,0.5965,0.8146,2.3402,2201.0667
82,26.2439,0.5518,0.7258,2.2472,2213.9111
83,23.2157,1.8725000000000003,0.577,2.3604,2179.2
84,20.2591,2.1221000000000005,1.0959,2.3524,2222.3222
85,26.3407,1.0482,0.8594999999999999,2.2445,2172.3111
86,37.4668,1.4978,1.1815,2.3073,2213.7556
87,21.2309,0.7851,0.8751999999999999,2.3162,2183.3111
88,44.784266730084916,1.2405,0.8716,2.3375,2183.5
89,28.1684,1.3900000000000001,0.5194,2.212,2211.4
90,31.4027,1.588,0.7392,2.2877,2198.5667
91,28.9181,0.6811,1.0143,2.4167,2250.3667
92,18.6295,1.4069,0.745,2.1996,2173.4889
93,13.8957,1.6695000000000004,0.8435,2.2697,2173.4556
94,28.042800000000003,0.557,0.7032,2.3936000000000006,2187.4111
95,26.4354,0.7473,0.7643,2.2937,2216.4778
96,29.5723,0.7797,0.9078999999999999,2.3289,2200.0666
97,30.6875,0.6728,0.8229,2.2555,2195.4444
98,27.7301,1.4506,0.7611,2.2915,2182.4111
99,25.4759,0.9418,0.9726000000000001,2.3481,2211.7222
100,25.02,1.7597000000000003,0.7928,2.3099000000000003,2186.9889
101,27.526399999999995,1.5321000000000002,0.8689999999999999,2.2588,2170.9667
102,28.5851,0.4657,0.46599999999999997,2.2725,2227.2444
103,26.336,0.5311,1.062,2.3177,2218.0555
104,21.0498,1.4331,0.6163,2.2673999999999994,2223.0444
105,24.8429,0.6265999999999999,1.0551,2.4244,2184.8778
106,20.9393,0.9017,0.6222,2.4213999999999998,2162.7556
107,23.8674,0.6247,0.6796,2.2949,2203.1667
108,17.735,0.5238,0.9639,2.3672,2178.6889
109,44.784266730084916,1.6915999999999998,0.8556,2.4,2179.0445
110,26.254,1.2856,0.8133,2.4073,2136.4111
111,22.9551,0.8812,0.593,2.2821,2227.9778
112,23.7582,0.5256,0.6641,2.3471,2178.1444
113,20.0076,0.7915,0.9273999999999999,2.2673999999999994,2223.0444
114,36.3451,1.272,0.3973,2.3079,2213.2889
115,26.3682,1.2353,0.7852,2.2789,2285.905182248416
116,22.731900000000003,0.42439999999999994,1.0918,2.2728,2155.6333
117,23.5781,1.1499,0.5779,2.2474,2172.3111
118,17.7542,1.4744000000000002,0.8446,2.3596000000000004,2265.1889
119,22.2504,2.7418953659709207,0.5478,2.3984,2199.6334
120,29.1501,1.4873,1.0135,2.3296,2183.1
121,23.23742,1.2938999999999998,0.7093,2.3883,2194.31558
122,44.784266730084916,1.6353,0.7574,2.3407,2224.4778
123,25.1172,1.3654,0.593,2.4151,2170.7444
124,23.5582,0.5748,0.8342999999999999,2.3099000000000003,2218.5778
125,22.513,0.4496,1.1213,2.2527,2215.1778
126,28.607300000000002,0.4115,0.5779,2.2631,2180.5556
127,30.1818,0.8449,0.8159,2.3495,2159.0556
128,32.1774,1.9127000000000005,0.6268,2.2711,2205.5
129,20.2515,1.0177,0.8159,2.4201,2203.4556
130,27.0475,1.1538,1.0541,2.3883,2114.990560444201
131,33.7771,1.3867,0.7477,2.2989,2194.5889
132,44.784266730084916,0.9767,0.9835999999999999,2.3412599999999997,2172.3666
133,23.112,0.39170000000000005,0.9048,2.2588,2210.2778
134,20.9574,1.0549,0.9174999999999999,2.2877,2195.1
135,19.9951,2.4481,0.8235,2.3038,2197.2667
136,25.2645,0.5565,0.811,2.3978,2218.0555
137,44.784266730084916,1.4959,0.7574,2.3073,2205.2222
138,29.012,2.7418953659709207,0.7643,2.2771,2179.0778
139,36.283,1.4018,0.6163,2.2216,2173.4889
140,21.9929,0.9597,0.7139,2.2802,2224.6778
141,30.9009,1.6516,0.9174999999999999,2.3021,2187.9889
142,26.3771,1.2486,0.7477,2.3161,2198.7222
143,37.8425,1.5107999999999997,0.573,2.2705,2207.9555
144,24.1495,1.177,0.7532,2.2931,2207.1
145,24.1581,0.6994999999999999,0.573,2.2705,2231.0555
146,27.7378,1.507,0.7507,2.3128,2177.3222
